partnerCode,country_name,world_part
112,Страна 112,Прочие регионы
624,Страна 624,Прочие регионы
626,Страна 626,Прочие регионы
116,Страна 116,Прочие регионы
120,Страна 120,Прочие регионы
634,Страна 634,Прочие регионы
637,Страна 637,Прочие регионы
132,Страна 132,Прочие регионы
646,Страна 646,Прочие регионы
136,Страна 136,Прочие регионы
140,Страна 140,Прочие регионы
652,Страна 652,Прочие регионы
654,Страна 654,Прочие регионы
144,Страна 144,Прочие регионы
659,Страна 659,Прочие регионы
148,Страна 148,Прочие регионы
660,Страна 660,Прочие регионы
662,Страна 662,Прочие регионы
152,Страна 152,Прочие регионы
666,Страна 666,Прочие регионы
670,Страна 670,Прочие регионы
674,Страна 674,Прочие регионы
162,Страна 162,Прочие регионы
678,Страна 678,Прочие регионы
166,Страна 166,Прочие регионы
170,Страна 170,Прочие регионы
682,Страна 682,Прочие регионы
174,Страна 174,Прочие регионы
175,Страна 175,Прочие регионы
686,Страна 686,Прочие регионы
688,Страна 688,Прочие регионы
178,Страна 178,Прочие регионы
690,Страна 690,Прочие регионы
180,Страна 180,Прочие регионы
694,Страна 694,Прочие регионы
184,Страна 184,Прочие регионы
699,Страна 699,Прочие регионы
188,Страна 188,Прочие регионы
192,Страна 192,Прочие регионы
704,Страна 704,Прочие регионы
196,Страна 196,Прочие регионы
706,Страна 706,Прочие регионы
710,Страна 710,Прочие регионы
716,Страна 716,Прочие регионы
204,Страна 204,Прочие регионы
212,Страна 212,Прочие регионы
214,Страна 214,Прочие регионы
728,Страна 728,Прочие регионы
729,Страна 729,Прочие регионы
218,Страна 218,Прочие регионы
732,Страна 732,Прочие регионы
222,Страна 222,Прочие регионы
736,Страна 736,Прочие регионы
226,Страна 226,Прочие регионы
740,Страна 740,Прочие регионы
231,Страна 231,Прочие регионы
232,Страна 232,Прочие регионы
234,Страна 234,Прочие регионы
748,Страна 748,Прочие регионы
238,Страна 238,Прочие регионы
239,Страна 239,Прочие регионы
242,Страна 242,Прочие регионы
757,Страна 757,Прочие регионы
760,Страна 760,Прочие регионы
762,Страна 762,Прочие регионы
251,Страна 251,Прочие регионы
768,Страна 768,Прочие регионы
258,Страна 258,Прочие регионы
772,Страна 772,Прочие регионы
260,Страна 260,Прочие регионы
262,Страна 262,Прочие регионы
776,Страна 776,Прочие регионы
266,Страна 266,Прочие регионы
268,Страна 268,Прочие регионы
780,Страна 780,Прочие регионы
270,Страна 270,Прочие регионы
784,Страна 784,Прочие регионы
275,Страна 275,Прочие регионы
788,Страна 788,Прочие регионы
792,Страна 792,Прочие регионы
795,Страна 795,Прочие регионы
796,Страна 796,Прочие регионы
798,Страна 798,Прочие регионы
288,Страна 288,Прочие регионы
800,Страна 800,Прочие регионы
804,Страна 804,Прочие регионы
292,Страна 292,Прочие регионы
807,Страна 807,Прочие регионы
296,Страна 296,Прочие регионы
304,Страна 304,Прочие регионы
818,Страна 818,Прочие регионы
308,Страна 308,Прочие регионы
316,Страна 316,Прочие регионы
320,Страна 320,Прочие регионы
834,Страна 834,Прочие регионы
324,Страна 324,Прочие регионы
837,Страна 837,Прочие регионы
839,Страна 839,Прочие регионы
328,Страна 328,Прочие регионы
842,Страна 842,Прочие регионы
332,Страна 332,Прочие регионы
334,Страна 334,Прочие регионы
336,Страна 336,Прочие регионы
340,Страна 340,Прочие регионы
854,Страна 854,Прочие регионы
344,Страна 344,Прочие регионы
858,Страна 858,Прочие регионы
860,Страна 860,Прочие регионы
862,Страна 862,Прочие регионы
352,Страна 352,Прочие регионы
360,Страна 360,Прочие регионы
364,Страна 364,Прочие регионы
876,Страна 876,Прочие регионы
368,Страна 368,Прочие регионы
882,Страна 882,Прочие регионы
887,Страна 887,Прочие регионы
376,Страна 376,Прочие регионы
891,Страна 891,Прочие регионы
894,Страна 894,Прочие регионы
384,Страна 384,Прочие регионы
899,Страна 899,Прочие регионы
388,Страна 388,Прочие регионы
398,Страна 398,Прочие регионы
400,Страна 400,Прочие регионы
404,Страна 404,Прочие регионы
408,Страна 408,Прочие регионы
414,Страна 414,Прочие регионы
417,Страна 417,Прочие регионы
418,Страна 418,Прочие регионы
422,Страна 422,Прочие регионы
426,Страна 426,Прочие регионы
430,Страна 430,Прочие регионы
434,Страна 434,Прочие регионы
442,Страна 442,Прочие регионы
446,Страна 446,Прочие регионы
450,Страна 450,Прочие регионы
454,Страна 454,Прочие регионы
462,Страна 462,Прочие регионы
466,Страна 466,Прочие регионы
470,Страна 470,Прочие регионы
478,Страна 478,Прочие регионы
480,Страна 480,Прочие регионы
484,Страна 484,Прочие регионы
490,Страна 490,Прочие регионы
496,Страна 496,Прочие регионы
498,Страна 498,Прочие регионы
499,Страна 499,Прочие регионы
500,Страна 500,Прочие регионы
504,Страна 504,Прочие регионы
508,Страна 508,Прочие регионы
